Country,State,County,City,Gender,HS_Rank,HS_Class_Size,SType,IUPCollege,Program,HighestTest,GPA,Black,White,Asian,Hawaiian,Indian,Decision,FAFSA
,PA,Mifflin,Reedsville,F,21,395,N,FA,MUED,1250,4,N,Y,N,N,N,AC,N
,PA,Blair,Altoona,F,,,N,HH,CRIM-HH,,,N,Y,N,N,N,,N
,PA,Cumberland,Carlisle,F,469,612,N,NM,PSYC,930,3.1,N,Y,N,N,N,AD,Y
,PA,Allegheny,Crescent,M,,,N,UC,EXPL-BU,1260,3.34,N,Y,N,N,N,AD,N
,PA,Delaware,Upper Darby,F,,,N,NM,BIOL-PMED,,,Y,N,N,N,N,,N
,PA,Allegheny,Pittsburgh,F,31,124,N,NM,NASC-PPHA,1010,4.26,Y,N,N,N,N,AD,Y
,PA,Dauphin,Harrisburg,F,65,403,N,ED,SPLP,1290,4,N,Y,N,N,N,AC,Y
,PA,Westmoreland,Youngwood,F,,,N,HH,NURS,,,N,Y,N,N,N,,N
,PA,Allegheny,Homestead,F,,,N,HH,CRIM-HH,,,Y,N,N,N,N,,N
,PA,Indiana,Homer City,F,,,N,ED,COMM-MDMK,1240,4,N,Y,N,N,N,AP,Y
,PA,Armstrong,Kittanning,M,103,192,N,HH,HPED-K12E,990,3.25,N,Y,N,N,N,AP,Y
,PA,Erie,Waterford,F,,,N,BU,MGMT-ESBU,1340,4,N,Y,N,N,N,AD,Y
,PA,Bucks,Feasterville Trevose,M,16,685,T,NM,COSC-CYBR,,4.39,N,Y,N,N,N,AP,Y
,PA,Lebanon,Lebanon,M,337,376,N,BU,MGMT-ESBU,,2.16,N,N,N,N,N,,N
,PA,Montgomery,Lansdale,M,895,1093,N,UC,EXPL,1140,1.86,N,Y,N,N,N,RJ,Y
,PA,Susquehanna,Springville,F,33,76,N,NM,PSYC,1040,3.2,N,Y,N,N,N,AD,Y
,PA,Berks,Reading,F,151,327,N,NM,BIOL-PMED,1100,3.12,N,N,N,N,N,AD,N
,PA,Delaware,Broomall,F,,,N,HH,NURS,,,N,Y,N,N,N,,N
,PA,Erie,Erie,F,,,N,ED,ECSP,,,N,Y,N,N,N,,N
,PA,Bradford,Rome,F,40,132,N,NM,PSYC,940,3.5,N,Y,N,N,N,AD,N
,PA,Cambria,Johnstown,F,81,103,N,AA,PUBH-BHMN,990,2.7,N,Y,N,N,N,AC,N
,MD,Baltimore,Randallstown,F,,,T,HH,MEDT,850,,Y,N,N,N,N,,N
,PA,Luzerne,Drums,F,203,760,N,NM,NASC-PPTH,1050,3.8,N,Y,N,N,N,AD,N
,PA,Allegheny,Pittsburgh,F,,,N,NM,PSYC,1180,3.87,N,Y,N,N,N,AD,Y
,PA,Lancaster,Leola,F,,,N,HH,NURS,1110,3.54,N,Y,N,N,N,AC,N
,PA,Westmoreland,Apollo,F,,,N,NM,BIOL-PMED,1220,3.9,N,Y,N,N,N,AC,N
,PA,Cambria,Patton,F,59,115,N,NM,NASC-POPT,930,3.6,N,Y,N,N,N,AD,N
,PA,Montour,Danville,F,63,154,N,ED,ECSP,1080,4,N,Y,N,N,N,AD,Y
,MD,Wicomico,Salisbury,F,,,N,HH,NURS,1280,4.75,N,Y,N,N,N,AD,Y
,PA,Blair,Altoona,M,91,502,N,FA,MUED,1210,3.9,N,Y,N,N,N,AC,N
,PA,Butler,Mars,F,157,241,N,ED,COMM-MDMK,1040,3.11,N,Y,N,N,N,AC,N
,PA,Cumberland,Mechanicsburg,M,87,285,N,BU,ACCT,1280,3.2,N,Y,N,N,N,AC,N
,PA,Lancaster,New Holland,F,37,217,N,ED,SPLP,1280,3.86,N,Y,N,N,N,AD,N
,PA,Philadelphia,Philadelphia,F,,,N,FA,INFA-DART,840,3,Y,N,N,N,N,AD,Y
,PA,Bedford,Bedford,F,19,114,N,BU,MKTG,1190,3.9,N,Y,N,N,N,AD,N
,PA,Bucks,Churchville,F,,,N,NM,BIOL-PMED,,4,N,Y,N,N,N,,Y
,PA,Bucks,Doylestown,F,,,N,HS,SSED-HIST,,,N,Y,N,N,N,,N
,PA,Allegheny,West Mifflin,F,51,241,N,HH,CRIM-HH,950,3.51,N,Y,N,N,N,AD,Y
,PA,Berks,Reading,F,279,812,N,HS,PLSC-HMSC,,3.61,N,N,N,N,N,,Y
,OH,Cuyahoga,Cleveland,M,31,345,N,HH,PESP-EXSC,1110,3.6,N,N,N,N,N,AD,N
,PA,Montgomery,Collegeville,M,254,453,N,BU,ACCT,1030,3.22,N,Y,N,N,N,AP,Y
,PA,Somerset,Windber,M,5,133,N,BU,MIS-ISIT,1320,4.29,N,Y,N,N,N,AC,Y
,PA,Elk,Saint Marys,M,24,49,N,HH,NURS,1070,3.4,N,Y,N,N,N,AD,Y
,PA,Westmoreland,Irwin,M,178,396,N,NM,NASC-PCHR,1240,3.19,N,Y,N,N,N,AP,Y
,PA,Indiana,Home,M,12,99,N,BU,MGMT-ESBU,930,3.9,N,Y,N,N,N,AP,Y
,PA,Cambria,Johnstown,F,16,114,N,HH,NURS,1140,4,N,Y,N,N,N,AD,Y
,PA,Lancaster,Elizabethtown,M,10,280,N,FA,MUED,1300,4,N,Y,N,N,N,AC,Y
,PA,Chester,Chester Springs,M,,,N,UC,EXPL,1100,2.71,N,Y,N,N,N,AC,N
,PA,Susquehanna,Montrose,M,25,110,N,NM,MAED,1250,3.9,N,Y,N,N,N,AC,Y
,PA,Columbia,Bloomsburg,F,2,136,N,ED,COMM-PROD,1400,4,N,Y,N,N,N,AC,Y
,PA,Delaware,Havertown,M,,,N,NM,MATH,1110,3.54,N,Y,N,N,N,AC,Y
,PA,Lancaster,Columbia,F,123,632,N,HH,CRIM-HH,900,3.53,N,N,N,N,N,AD,N
,PA,Cumberland,Carlisle,F,34,319,N,HH,NURS,1240,4.07,N,Y,N,N,N,AD,Y
,PA,Allegheny,Crafton,F,,,N,HH,NURS,1230,4,N,Y,N,N,N,AC,Y
,PA,Indiana,Indiana,F,48,203,N,HS,ENGE,1120,3.97,N,Y,N,N,N,AP,N
,PA,Beaver,Baden,F,67,185,N,NM,NASC-PPHA,1010,3.4,N,N,N,N,Y,AD,Y
,PA,Philadelphia,Philadelphia,M,,,N,NM,COSC-LGSY,1090,2.87,Y,N,N,N,N,AD,Y
,PA,Greene,Mount Morris,F,4,45,N,NM,PSYC,1000,4.14,N,N,N,N,N,AD,Y
,PA,Indiana,Armagh,M,,,N,NM,PHYS-PENG,1080,3.9,N,Y,N,N,N,AP,Y
,PA,Bradford,Columbia Cross Roads,M,6,103,N,HS,SOC,1250,4,N,Y,N,N,N,AC,Y
,PA,Allegheny,Coraopolis,F,26,47,N,HH,NURS,930,3.04,N,N,N,N,N,,N
,PA,Westmoreland,New Florence,F,16,83,T,NM,NASC-PPTH,1030,4,N,Y,N,N,N,AD,Y
,PA,Butler,Butler,F,84,156,N,BU,MKTG,1010,3.28,Y,Y,N,N,N,AP,Y
,PA,Allegheny,McKeesport,F,,,N,HH,NURS,,,N,Y,N,N,N,,N
,PA,Allegheny,Pittsburgh,F,65,78,N,UC,EXPL-UC,1000,2.35,Y,N,N,N,N,AD,Y
,PA,Cumberland,Mechanicsburg,F,175,286,N,BU,MGMT-GNRL,980,2.8,N,Y,N,N,N,AC,Y
,PA,Indiana,Commodore,F,,,N,BU,MGMT-ESBU,1030,3.81,N,Y,N,N,N,AC,Y
,PA,Huntingdon,Huntingdon,F,,,T,ED,GNSTU-AA,,,N,Y,N,N,N,,N
,VA,Henrico,Glen Allen,F,65,428,N,NM,COSC-SWEN,1340,4.29,N,Y,N,N,N,AC,Y
,PA,Crawford,Titusville,F,20,140,N,ED,COMM-PROD,1100,3.64,N,Y,N,N,N,AC,N
,PA,Mercer,Hermitage,F,50,151,N,BU,ACCT,1040,3.8,N,Y,N,N,N,AC,Y
,PA,Cumberland,Enola,F,4,198,N,HH,NURS,1300,4,N,Y,N,N,N,AD,Y
,PA,Indiana,Armagh,F,36,83,N,HH,NURS,1090,3.5,N,Y,N,N,N,AC,N
,PA,Cambria,Johnstown,F,39,111,N,BU,HRMG,1130,3.9,N,Y,N,N,N,AP,Y
,PA,Butler,Valencia,F,,,N,HS,ENGE,1110,3.14,N,Y,N,N,N,PC,Y
,MO,Saint Charles,O Fallon,,23,471,N,HH,CRIM-HH,1540,4.54,N,Y,N,N,N,AC,N
,PA,Blair,Roaring Spring,M,28,54,N,ED,SPCE,1120,3.5,N,Y,N,N,N,AD,N
,VA,Roanoke City,Roanoke,M,10,326,N,HS,HIST,840,3.96,Y,N,N,N,N,AD,N
,PA,Indiana,Indiana,M,145,203,N,HH,SHE,930,2.68,N,Y,N,N,N,AW,Y
,PA,Washington,Mc Donald,M,151,207,N,UC,EXPL,1010,2.89,N,Y,N,N,N,AD,N
,PA,Philadelphia,Philadelphia,M,,,N,NM,COSC-CYBR,900,2.9,Y,N,N,N,N,AP,Y
,IN,Boone,Zionsville,F,,,N,NM,BIOL-ECEB,1280,3.67,N,Y,N,N,N,AC,Y
,PA,Butler,Butler,F,,,N,HH,NURS,1210,4,N,Y,N,N,N,AD,N
,PA,Butler,Saxonburg,F,77,185,N,FA,MUPF-BFA,1100,3.4,N,Y,N,N,N,AP,Y
,PA,Schuylkill,McAdoo,F,164,760,N,HS,ENGE,970,3.9,N,Y,N,N,N,AD,Y
,PA,Westmoreland,New Kensington,F,,,N,NM,BIOL-PMED,980,3.17,Y,Y,N,N,N,AC,Y
,PA,Allegheny,Gibsonia,M,,,N,HH,CRIM-HH,940,2.98,N,Y,N,N,Y,AP,Y
,PA,Montgomery,Pottstown,F,16,163,N,HH,NURS,1200,4,Y,N,N,N,N,AP,Y
,PA,Blair,Altoona,F,64,485,N,NM,BIOL-PMED,1250,3.9,N,Y,N,N,N,AD,Y
,PA,Allegheny,Sewickley,M,,,N,UC,EXPL-UC,950,,N,Y,N,N,N,AC,N
,PA,Luzerne,Nanticoke,F,32,185,N,HH,INDS,1010,4,N,Y,N,N,N,AC,Y
,PA,Beaver,Aliquippa,M,120,156,N,UC,EXPL-HHS,1100,2.51,N,Y,N,N,N,AC,Y
,PA,Lackawanna,Moscow,F,127,241,N,NM,PSYC,1080,3.46,N,Y,N,N,N,AP,Y
,PA,Montgomery,Pottstown,F,56,239,N,BU,ACCT,990,3.75,Y,N,N,N,Y,AC,Y
,PA,Blair,Williamsburg,F,17,35,N,UC,EXPL-HHS,940,3.7,N,Y,N,N,N,AD,N
,PA,Westmoreland,Greensburg,F,254,438,T,HH,CRIM-HH,,3.1,N,N,N,N,N,AP,Y
,PA,Indiana,Indiana,M,52,99,N,UC,EXPL-STEM,860,3.16,N,Y,N,N,Y,AW,Y
,PA,Washington,Washington,M,,,N,ED,BTED,,2.31,Y,N,N,N,N,,N
,PA,Indiana,Indiana,M,38,203,N,BU,MIS-ISBA,1330,4.03,N,Y,N,N,N,AP,Y
,PA,Indiana,Indiana,F,3,83,N,BU,ACCT,1230,4,N,Y,N,N,N,AD,N
,PA,York,York,M,259,470,N,HH,RESP,1040,2.8,N,Y,N,N,N,AC,Y
,PA,Lawrence,New Castle,F,101,152,N,NM,NASC-PPHR,930,2.99,N,Y,N,N,N,AD,N
,PA,Clearfield,Grampian,F,17,74,N,HH,NURS,1080,4,N,Y,N,N,N,AD,N
,PA,Philadelphia,Philadelphia,F,,,N,BU,MKTG,,3.83,N,N,Y,N,N,AD,N
,PA,Erie,Erie,M,,,N,UC,EXPL,1210,4.01,N,Y,N,N,N,AD,Y
,PA,Lancaster,Holtwood,F,17,255,N,NM,NASC-PPHA,1260,3.93,N,Y,N,N,N,AC,Y
,PA,Mifflin,Lewistown,M,133,395,N,HH,PESP-EXSC,1080,3.5,N,Y,N,N,N,PC,Y
,PA,Butler,Evans City,M,,,N,HS,ENGL-LTCL,1100,3.15,N,Y,N,N,N,AD,Y
,PA,Monroe,East Stroudsburg,F,,,N,ED,BTED,,,Y,N,N,N,N,,N
,PA,Allegheny,Coraopolis,F,,,N,NM,BIOL-PMED,980,3.53,N,Y,N,N,N,AC,N
,PA,Allegheny,Pittsburgh,F,,,N,BU,MKTG,1040,3.8,N,Y,N,N,N,AP,Y
,PA,Cumberland,Carlisle,F,58,166,N,HH,INDS,1150,3.9,N,Y,N,N,N,AC,N
,PA,Butler,Portersville,F,1,73,N,NM,BIOL-BS,1090,4.35,N,Y,N,N,N,AD,Y
,PA,Northampton,Bangor,M,91,228,N,NM,PSYC,970,3.6,N,Y,N,N,N,AD,Y
,PA,Westmoreland,Greensburg,F,166,435,N,HS,GEOG-GISC,1110,3.5,N,Y,N,N,N,AC,Y
,PA,Luzerne,Wilkes Barre,F,218,272,N,UC,EXPL-UC,910,2.57,Y,N,N,N,N,AD,N
,PA,Allegheny,Mt Oliver,F,,,N,NM,NASC-PPTH,1310,4.09,N,Y,N,N,N,AD,Y
,PA,Montgomery,Oreland,F,,,N,HH,CRIM-HH-PLAW,1250,3.86,N,Y,N,N,N,AP,Y
,PA,Chester,Coatesville,M,374,470,N,HH,CRIM-HH,900,1.9,Y,N,N,N,N,RJ,N
,PA,Luzerne,Hazleton,M,,,N,NM,NASC-PCHR,1320,3.5,N,Y,N,N,N,AP,Y
,PA,Washington,Washington,M,,,N,HH,CRIM-HH,1120,1.87,N,Y,Y,N,N,RJ,N
,PA,Allegheny,Pittsburgh,F,43,89,N,UC,EXPL-UC,1020,2.36,Y,Y,N,N,N,AD,Y
,PA,Indiana,Indiana,F,40,203,N,ED,SPLP,1050,3.92,N,Y,N,N,N,AW,Y
,PA,Cambria,Cresson,F,73,111,T,ED,SPLP,840,3.1,N,Y,N,N,N,,N
,PA,Northampton,Nazareth,F,221,373,N,ED,ECSP,1090,2.7,N,Y,N,Y,N,AC,Y
,NJ,Mercer,Robbinsville,F,,,N,NM,PSYC,1140,3.57,N,Y,N,N,N,AC,Y
,PA,Wyoming,Falls,F,93,178,N,NM,BIOL-PVET,1010,3.1,N,Y,N,N,N,AP,Y
,PA,Allegheny,Pittsburgh,F,,,N,UC,EXPL-UC,1010,2.39,N,Y,N,N,N,AD,Y
,PA,Westmoreland,Latrobe,F,74,302,N,HH,NURS,1270,3.77,N,Y,N,N,N,AC,Y
,PA,Bedford,Everett,F,,,N,ED,ECED,1100,4,N,Y,N,N,N,AD,N
,PA,Montgomery,Ambler,F,,,N,UC,EXPL,930,2.78,N,Y,N,N,N,AC,Y
,PA,Lycoming,Montoursville,F,84,118,N,ED,SPCE,980,3.1,N,Y,N,N,N,AC,Y
,PA,Allegheny,Oakdale,F,,,N,HH,NURS,1110,3.57,N,Y,N,N,N,AC,Y
,PA,Montour,Danville,M,107,154,N,NM,NASC-PPTH,1060,3.4,N,Y,N,N,N,AD,Y
,PA,Armstrong,Kittanning,M,87,192,N,NM,NASC-PPTH,1050,3.51,Y,N,N,N,N,AP,Y
,PA,Carbon,Jim Thorpe,F,97,136,N,UC,EXPL-UC,770,2.6,N,Y,N,N,N,AP,Y
,PA,Philadelphia,Philadelphia,F,,,N,HH,NURS,,,Y,N,N,N,N,,N
,PA,Allegheny,Pittsburgh,F,,,N,ED,ECSP,1030,3,N,Y,N,N,N,AC,Y
,PA,Westmoreland,Export,F,71,322,N,BU,MGMT-GNRL,1140,4.03,N,Y,N,N,N,AC,N
,PA,Westmoreland,Trafford,F,235,322,N,BU,MKTG,1040,3.06,N,Y,N,N,N,AD,Y
,PA,York,York,F,184,470,N,BU,MKTG,1050,3.92,N,Y,N,N,N,AC,Y
,PA,Northumberland,Elysburg,F,39,111,N,FA,ARED,1140,3.9,N,Y,N,N,N,PC,Y
,PA,Indiana,Homer City,M,,,N,NM,BIOL-ECEB,,3.5,N,Y,N,N,N,AD,Y
,PA,York,Glen Rock,F,134,470,N,HH,NURS,1080,4.19,N,Y,N,N,N,AC,Y
,PA,Erie,Erie,F,,,N,HH,CRIM-HH-PLAW,,,N,N,N,Y,N,,N
,PA,Montgomery,Lansdale,M,744,1093,N,UC,EXPL,1040,3.71,Y,N,N,N,N,AC,Y
,PA,Lawrence,New Castle,F,,,N,UC,EXPL-HHS,930,3.18,N,Y,N,N,N,AD,N
,PA,Chester,Malvern,F,,,N,HS,SSED-SOC,,2.19,N,N,N,N,Y,,N
,PA,Allegheny,Bethel Park,F,,,N,UC,EXPL-EDU,1160,4.2,N,Y,N,N,N,AP,Y
,PA,Westmoreland,Latrobe,M,252,308,N,BU,MKTG,1130,2.6,N,Y,N,N,N,AD,Y
,PA,Allegheny,Elizabeth,F,,,N,HH,PESP-EXSC,880,3.13,Y,Y,N,N,N,AP,Y
,VA,Loudoun,Ashburn,F,269,372,N,HH,CRIM-HH,930,3.08,N,Y,N,N,N,AC,Y
,PA,Mercer,Mercer,F,,,N,HH,NURS,,,N,Y,N,N,N,,N
,PA,Monroe,Pocono Lake,F,103,374,N,NM,BIOL-PMED,990,3.4,N,Y,N,N,N,AD,Y
,PA,Philadelphia,Philadelphia,F,,,N,HH,CRIM-HH,1030,2.89,Y,N,N,N,N,AD,Y
,PA,Westmoreland,Avonmore,F,,,N,UC,EXPL-HHS,860,2.88,N,Y,N,N,N,AP,Y
,PA,Cambria,Ebensburg,M,60,126,N,HH,SHE,950,3.44,N,Y,N,N,N,AP,Y
,PA,Allegheny,Gibsonia,M,,,N,HH,CRIM-HH,1110,2.91,N,Y,N,N,N,AD,Y
,PA,Allegheny,Homestead,F,,,N,BU,ACCT,960,3.96,N,Y,N,N,N,AC,Y
,PA,Allegheny,Pittsburgh,F,,,N,HH,NURS,1160,3.6,N,Y,N,N,N,AP,Y
,PA,Perry,Elliottsburg,F,28,186,N,NM,CHEM-PPHR,1140,4,N,Y,N,N,N,AC,N
,MS,Harrison,Gulfport,F,89,397,T,BU,ACCT,,3.5,Y,Y,N,N,N,AD,Y
,NJ,Bergen,River Edge,F,,,N,NM,BIOL-PMED,1000,2.4,N,Y,N,N,N,AC,Y
,PA,Lancaster,Manheim,M,36,231,N,ED,BTED,1210,3.87,N,Y,N,N,N,AD,Y
,PA,Mercer,Sharon,F,,,N,HH,CDFR,820,3.1,Y,N,N,N,N,AW,Y
,PA,Philadelphia,Philadelphia,F,110,135,N,UC,EXPL-HHS,900,2.56,Y,N,N,N,N,AD,Y
,PA,Indiana,Rossiter,F,11,152,N,HH,NMDT,890,3.78,N,Y,N,N,N,AC,Y
,PA,Fulton,Warfordsburg,F,26,50,N,ED,COMM-MDMK,1040,3.06,N,Y,N,N,N,PC,Y
,PA,Lawrence,Ellwood City,F,40,110,T,ED,ECED,,3.52,N,Y,N,N,N,,Y
,PA,Allegheny,South Park,F,10,140,N,BU,MGMT-GNRL,1150,4.1,N,Y,N,N,N,AP,Y
,PA,Allegheny,Pittsburgh,F,,,N,ED,SPLP,1210,4.28,N,Y,N,N,N,AD,Y
,PA,Westmoreland,New Derry,F,59,153,N,HH,INDS,910,3.5,N,Y,N,N,N,AD,N
,PA,Westmoreland,Smithton,F,63,159,N,HH,NURS,1110,3.4,N,Y,N,N,N,AD,Y
,PA,Chester,Frazer,M,,,N,UC,EXPL-UC,1110,2.45,Y,N,N,N,N,AC,Y
,PA,Delaware,Broomall,F,61,271,N,HH,NURS,1230,4,N,Y,N,N,N,AD,Y
,IN,Lake,Hammond,F,,,N,BU,MGMT-ESBU,,,Y,Y,N,N,N,,N
,PA,York,York,F,369,470,N,UC,EXPL-UC,960,2.85,N,Y,N,N,N,AD,N
,PA,Montgomery,Abington,F,41,586,N,ED,ECED,1290,4.43,N,Y,N,N,N,AC,Y
,PA,Montgomery,Norristown,F,65,374,N,ED,ECED,970,3.41,N,Y,N,N,N,AD,Y
,PA,Delaware,Upper Darby,M,,,N,ED,COMM-MDST,,,Y,N,N,N,N,,Y
,PA,Jefferson,Oliveburg,F,80,141,N,HH,CRIM-HH,1040,3.2,N,Y,N,N,N,AP,Y
,PA,Allegheny,Pittsburgh,M,57,111,N,ED,DISB,910,2.5,N,Y,N,N,N,AD,N
,VA,Fairfax,Reston,F,,,N,HH,NURS,1110,3.89,N,N,N,N,N,AP,Y
,PA,Fayette,Normalville,F,,,N,NM,MATH,990,3.73,N,Y,N,N,N,AP,Y
,PA,Philadelphia,Philadelphia,F,,,N,ED,BTED,1040,3.1,N,N,N,N,N,AD,Y
,PA,Lawrence,New Castle,F,12,152,N,NM,NASC-PPHA,1150,4.26,N,Y,N,N,N,AC,Y
,PA,Allegheny,Pittsburgh,F,,,N,HH,FSMR,970,3.22,N,Y,N,N,N,AD,Y
,PA,Northampton,Bethlehem,F,78,165,N,NM,NASC-PPHA,1130,3.36,N,Y,N,N,N,AP,Y
,PA,Luzerne,Hazleton,M,,,N,BU,MIS-ISIT,1050,,N,N,N,N,N,,Y
,PA,Westmoreland,Irwin,M,137,396,N,HH,CRIM-HH,1250,3.4,N,Y,N,N,N,AD,Y
,PA,Tioga,Blossburg,F,40,97,N,UC,EXPL,1040,3.6,N,Y,N,N,N,AD,N
,VA,Loudoun,Leesburg,F,108,326,N,NM,COSC-CYBR,1040,3.91,N,N,Y,N,N,AC,Y
,PA,Luzerne,Wyoming,M,96,178,N,NM,NASC-BS,840,3.1,N,Y,N,N,N,AD,Y
,PA,Lawrence,New Castle,F,,,N,HH,CRIM-HH,,,Y,Y,N,N,N,,N
,PA,Indiana,Saltsburg,F,11,36,N,ED,ECSP,1210,4,N,Y,N,N,N,AP,Y
,PA,Luzerne,Wilkes Barre,M,,,N,NM,PSYC,1010,2.02,N,Y,N,N,N,AC,Y
,PA,Indiana,Penn Run,F,6,58,N,NM,CHEM-PMED-BS,1070,4,N,Y,N,N,N,AW,Y
,PA,Blair,Williamsburg,F,7,34,N,HS,SSED-HIST,1020,3.9,N,Y,N,N,N,AP,Y
,PA,Cambria,Johnstown,M,45,103,N,NM,COSC-CYBR,1010,3.6,N,Y,N,N,N,AD,Y
,PA,Chester,Berwyn,F,,,N,BU,FIN,1230,3.92,N,Y,N,N,N,AD,N
,PA,Clarion,Clarion,M,,,N,HH,PESP-EXSC,1060,3.1,N,Y,N,N,N,AC,N
,PA,Delaware,Upper Darby,M,,,N,NM,COSC-SWEN,1150,3.5,Y,N,N,N,N,AD,Y
,PA,Northumberland,Coal Township,F,,,N,UC,EXPL-UC,1030,2.45,N,Y,N,N,N,AC,Y
,PA,Mercer,Hermitage,F,84,151,N,ED,ECSP,870,3.4,N,Y,N,N,N,AD,N
,PA,Tioga,Lawrenceville,M,,,N,ED,ECSP,950,3.3,Y,N,N,N,N,AC,Y
,PA,Philadelphia,Philadelphia,M,,,N,UC,EXPL,910,2.8,Y,N,N,N,N,AD,Y
,PA,Philadelphia,Philadelphia,F,,,N,NM,CHEM-PMED-BS,1000,3.1,Y,N,N,N,N,AD,N
,PA,Westmoreland,Latrobe,F,180,308,N,FA,ARED,1060,3.13,N,Y,N,N,N,AD,Y
,PA,Allegheny,Elizabeth,F,,,N,HH,HOSP-AS,,,N,Y,N,N,N,,N
,PA,Bucks,Feasterville Trevose,M,70,634,N,NM,CHEM-PPHR,1230,4.15,N,Y,N,N,N,AC,Y
,PA,Bucks,Langhorne,F,402,634,N,ED,BTED,,2.83,N,Y,N,N,N,,N
,PA,Clarion,Knox,F,23,74,N,HH,CRIM-HH,830,3.9,N,Y,N,N,N,AD,N
,PA,Clearfield,Clearfield,F,,,N,HH,NURS,,3.05,N,Y,N,N,N,,N
